Date,Location,Artist,Venue,Lineup,Gear Notes,Link
2022-09-08,"Chicago, IL",Ripley,Hideout,"Mid-American Elevator, Ripley, Leah Jean","British Drum Co. headliner backline, with my orange Acrolyte"
2022-09-22,"Dubuque, IA",Case Oats,Fox Den Motel,"Case Oats, Trevor Sensor",Whitehall with orange Acrolyte
2022-09-23,"Lincoln, NE",Case Oats,Lincoln Calling Festival,Lincoln Calling Festival,Whitehall with orange Acrolyte
2022-09-24,"St. Louis, MO",Case Oats,Music Record Shop,"VV Lightbody, Case Oats, Ashley Byrne",Whitehall with orange Acrolyte
2022-09-25,"St. Louis, MO",Case Oats,Joe's Cafe,"Brothers Lazaroff, Case Oats",Whitehall with orange Acrolyte
2022-09-26,"Louisville, KY",Case Oats,Mag Bar,"Case Oats, Bats, Warner Brownfield, ""You Bred Raptors?""",Whitehall with orange Acrolyte
2022-09-27,"South Bend, IN",Case Oats,Stockroom East,"Joe Baughman and the Righteous Few, Case Oats, Bailey Williams",Whitehall with orange Acrolyte
2022-09-28,"Oberlin, OH",Finom,The Cat in the Cream,"Finom, Friko",Red Onyx Slingerland with orange Acrolyte
2022-09-29,"Philadelphia, PA",Finom,Johnny Brenda's,"Finom, mmeadows, Grocer",Red Onyx Slingerland with orange Acrolyte
2022-09-30,"Kingston, NY",Finom,Tubby's,"Finom, mmeadows",Red Onyx Slingerland with orange Acrolyte
2022-10-01,"New York, NY",Finom,TV Eye,"Finom, mmeadows, Emily Robb",Red Onyx Slingerland with orange Acrolyte
2022-10-02,"Washington, DC",Finom,Comet Ping Pong,"Finom, mmeadows, ""Yours, River""",Red Onyx Slingerland with orange Acrolyte
2022-10-03,"Columbia, SC",Finom,New Brookland Tavern,"Finom, mmeadows, Outerego",Red Onyx Slingerland with orange Acrolyte
2022-10-04,"Atlanta, GA",Finom,529,"Finom, mmeadows, Lowtown",Red Onyx Slingerland with orange Acrolyte
2022-10-05,"Knoxville, TN",Finom,The Pilot Light,"Finom, mmeadows, [plus 2 local bands]",Red Onyx Slingerland with orange Acrolyte
2022-10-06,"Nashville, TN",Finom,The Blue Room,"Finom, mmeadows, Joe Kenkel",Red Onyx Slingerland with orange Acrolyte
2022-10-08,"Chicago, IL",Finom,Thalia Hall,"The Regrettes, Finom, Child Seat",Red Onyx Slingerland with orange Acrolyte
2022-10-13,"Chicago, IL",Hayden Holbert and Lydia Nye,"Gossip Farm (Lydia's backyard, 1041 N California)","Morinda, Hayden & Lydia, Shoulderbrid, Henry True, Sarai's band, others",Red Onyx Slingerland with orange Acrolyte
2022-10-22,"Louisville, KY",Joan Shelley,St. Phillip Neri,"Joan Shelley, Giant Dunes",Red Onyx Slingerland with orange Acrolyte
2022-10-26,"Davenport, IA",Cosmic Country Showcase,Raccoon Motel,Cosmic Country Showcase,Red Onyx Slingerland with orange Acrolyte
2022-10-28,"Chicago, IL",Cosmic Country Showcase,Sleeping Village,Cosmic Country Showcase,Red Onyx Slingerland with orange Acrolyte
2022-10-29,"Chicago, IL",Cosmic Country Showcase,Sleeping Village,Cosmic Country Showcase,Red Onyx Slingerland with orange Acrolyte
2022-10-31,"Milwaukee, WI",Cosmic Country Showcase,Cactus Club,Cosmic Country Showcase,Red Onyx Slingerland with orange Acrolyte
2022-11-13,"San Francisco, CA",Jeff Tweedy,The Fillmore,Frank Riley surprise birthday party,"Pearl Export chrome belonging to Dean and Britta, with my Yamaha Oak Custom snare"
2022-12-01,"Seattle, WA",Liam Kazar,Sunset Tavern,"Liam Kazar, Fruit Juice",Whitehall (nested) with orange Acrolyte
2022-12-02,"Portland, OR",Liam Kazar,Aladdin Theater,"The New Pornographers, Liam Kazar",Whitehall (nested) with orange Acrolyte
2022-12-03,"Portland, OR",Liam Kazar,Aladdin Theater,"The New Pornographers, Liam Kazar",Whitehall (nested) with orange Acrolyte
2022-12-05,"San Francisco, CA",Liam Kazar,The Fillmore,"The New Pornographers, Liam Kazar",Whitehall (nested) with orange Acrolyte
2022-12-06,"San Francisco, CA",Liam Kazar,The Fillmore,"The New Pornographers, Liam Kazar",Whitehall (nested) with orange Acrolyte
2022-12-07,"Los Angeles, CA",Liam Kazar,Regent Theater,"The New Pornographers, Liam Kazar",Whitehall (nested) with orange Acrolyte
2022-12-08,"Los Angeles, CA",Liam Kazar,Regent Theater,"The New Pornographers, Liam Kazar",Whitehall (nested) with orange Acrolyte
2022-12-10,"Solana Beach, CA",Liam Kazar,Belly Up Tavern,"The New Pornographers, Liam Kazar",Whitehall (nested) with orange Acrolyte
2022-12-11,"Solana Beach, CA",Liam Kazar,Belly Up Tavern,"The New Pornographers, Liam Kazar",Whitehall (nested) with orange Acrolyte
2022-12-13,"Phoenix, AZ",Liam Kazar,Valley Bar,Liam Kazar,Whitehall (nested) with orange Acrolyte
2022-12-14,"Santa Fe, NM",Liam Kazar,Tumbleroot Brewery,Liam Kazar,Whitehall (nested) with orange Acrolyte
2022-12-16,"Austin, TX",Liam Kazar,The Mohawk Indoors,"Liam Kazar, Dorio",Whitehall (nested) with orange Acrolyte
2022-12-17,"Dallas, TX",Liam Kazar,Ruins,"Liam Kazar, Yellow Jones",Whitehall (nested) with orange Acrolyte
2022-12-18,"Oklahoma City, OK",Liam Kazar,Ponyboy,"Liam Kazar, This Coast Bias",Whitehall (nested) with orange Acrolyte
2022-12-19,"Chicago, IL",Alaina Stacey,Constellation,24 Hour Marathon,Constellation C&C backline with orange Acrolyte
2022-12-19,"Chicago, IL",The Blisters,Constellation,24 Hour Marathon,Constellation C&C backline with orange Acrolyte
2022-12-20,"Chicago, IL",Sammy Tweedy and Spencer Tweedy,Constellation,24 Hour Marathon,Constellation C&C backline with orange Acrolyte
2022-12-21,"Chicago, IL",Liam Kazar,Thalia Hall,"Whitney, Liam Kazar",Whitehall (nested) with orange Acrolyte
2022-12-29,"Chicago, IL",Liam Kazar,Hungry Brain,"Liam Kazar, Tasha, Morinda",Red Onyx Slingerland with orange Acrolyte snare
2022-12-30,"Chicago, IL",Liam Kazar,Hungry Brain,"Liam Kazar, Macie Stewart",Red Onyx Slingerland with orange Acrolyte snare
2023-01-04,"Durham, NC",Waxahatchee,Pinhook,"Waxahatchee, Kym Register, Meltdown Rodeo",Joe Westerlund’s drums
2023-02-11,At sea,Courtney Marie Andrews,Norwegian Pearl,Cayamo,Backline
2023-02-14,At sea,Jeff Tweedy,Norwegian Pearl,Cayamo,Backline
2023-02-15,At sea,Brady Blade,Norwegian Pearl,Cayamo,Backline
2023-02-15,At sea,Devon Gilfilian and the Black Opry,Norwegian Pearl,Cayamo,Backline
2023-02-24,"Chicago, IL",Henry True,Schubas,"Free Range, Minor Moon, Henry True",Jack Henry kit
2023-03-01,"Chicago, IL",Lucky Cloud,Empty Bottle,"Jodi, Lucky Cloud, Shoulderbird",Jodi drummer’s kit
2023-03-18,"Chicago, IL",Case Oats,Golden Dagger,"Case Oats, Dusk",Amos’s drums?
2023-03-26,"Chicago, IL",Lucky Cloud,,,
2023-04-01,"Chicago, IL",Henry True,Color Club,"Scout Gillett, The Bascinets, Henry True",One of the other band’s drums
2023-04-14,"Chicago, IL",Cosmic Country Showcase,Sleeping Village,Cosmic Country Showcase feat. Honey Harper,Red Onyx Slingerland with orange Acrolyte snare
2023-04-15,"Milwaukee, WI",Cosmic Country Showcase,Cactus Club,Cosmic Country Showcase feat. Honey Harper,Red Onyx Slingerland with orange Acrolyte snare
2023-04-29,"Chicago, IL",Horizon of Darkness,Metro,"Eleventh Dream Day, Lifeguard, Horizon of Darkness",Red Onyx Slingerland with orange Acrolyte snare
2023-05-07,"Chicago, IL",Lucky Cloud,Gossip Farm,,Jack Henry’s kit with my orange Acrolyte snare
2023-06-01,"Three Oaks, MI",Cosmic Country Showcase,Acorn Theater,Cosmic Country Showcase,Red Onyx Slingerland with orange Acrolyte snare
2023-06-02,"Chicago, IL",Cosmic Country Showcase,Constellation,Cosmic Country Showcase,Red Onyx Slingerland with orange Acrolyte snare
2023-06-09,"Chicago, IL",Sima Cunningham,Hungry Brain,"Sima Cunningham, Hannah Frances",Red Onyx Slingerland with orange Acrolyte snare
2023-06-10,"Chicago, IL",Sima Cunningham,Hungry Brain,"Sima Cunningham, Hannah Frances",Red Onyx Slingerland with orange Acrolyte snare
2023-06-27,"Chicago, IL",Case Oats,Sleeping Village,"Greg Freeman, Case Oats, Hemlock",
2023-06-30,"Chicago, IL",Lucky Cloud,Cole’s Bar,"Bubbles Brown, Elijah Berlow, Lucky Cloud",Bubble Brown’s drummer’s drums
2023-07-01,"Chicago, IL",Sammy Tweedy and Spencer Tweedy,Hungry Brain,Sammy Tweedy and Spencer Tweedy,House kit and Nord Drum
2023-07-05,"Chicago, IL",Henry True,Golden Dagger,"Henry True, Ari Lindo, Elizabeth Moen",Red Onyx Slingerland with orange Acrolyte snare
2023-07-08,"Chicago, IL",Cosmic Country Showcase,Square Roots Festival,Square Roots Festival,Backline with my orange Acrolyte snare
2023-07-09,"Chicago, IL",Henry True,Gossip Farm,"Case Oats, Henry True, Red PK, Lydia cover band",Jack Henry kit
2023-07-10,"Chicago, IL",Cosmic Country Showcase,Carol’s Pub,Alex Grelle and Andrew Sa with Cosmic Country Showcase,Red Onyx Slingerland with orange Acrolyte snare
2023-07-16,"Chicago, IL",Sima Cunningham,Sleeping Village,"Alicia Walter, Carlile, Sima Cunningham",Alicia’s drummer’s drums
2023-07-22,"Chicago, IL",MJ Lenderman,Pitchfork Music Festival,Pitchfork Music Festival,Backline with my orange Acrolyte snare
2023-07-24,"Chicago, IL",Finom,Pritzker Pavilion,"Kurt Vile, Finom",Red Onyx Slingerland with orange Acrolyte snare
2023-08-04,"Ripon, WI",Henry True,Avrom Farm,Avrom Farm Party,Whitehall with orange Acrolyte snare
2023-08-05,"Ripon, WI",Case Oats,Avrom Farm,Avrom Farm Party,Whitehall with orange Acrolyte snare
2023-08-12,"Albany, WI",Aux Thom,Post Farm,Sima & Doriain wedding,Whitehall with Cunningham purple snare
2023-08-18,"Bonner, MT",Waxahatchee,KettleHouse Amphitheater,"Nathaniel Rateliff & The Night Sweats, Waxahatchee",Backline and my orange Acrolyte snare
2023-08-19,"Bonner, MT",Waxahatchee,KettleHouse Amphitheater,"Nathaniel Rateliff & The Night Sweats, Waxahatchee",Backline and my orange Acrolyte snare
2023-08-22,"Morrison, CO",Waxahatchee,Red Rocks Amphitheater,"Nathaniel Rateliff & The Night Sweats, Waxahatchee",Backline and my orange Acrolyte snare
2023-08-23,"Morrison, CO",Waxahatchee,Red Rocks Amphitheater,"Nathaniel Rateliff & The Night Sweats, Waxahatchee",Backline and my orange Acrolyte snare
2023-08-30,"Mount Tremper, NY",Critter Bonus,The Pines,Critter Bonus,The Pines vintage Ludwig? my orange Acrolyte snare
2023-09-03,"Woodstock, NY",Sam Evian and Hannah Cohen,Levon Helm Studios,"Sam Evian, Hannah Cohen","Levon’s Gretsch, my cymbals and orange Acrolyte snare"
2023-09-07,"Raleigh, NC",Sam Evian,Hopscotch Music Festival,Hopscotch Music Festival,Sam’s Rogers kit with my orange Acrolyte snare
2023-09-08,"Atlanta, GA",Sam Evian,The Earl,"Sam Evian, Seafoam Walls",Sam’s Rogers kit with my orange Acrolyte snare
2023-09-09,"Savannah, GA",Sam Evian,El Rocko Lounge,"Sam Evian, two local bands",Sam’s Rogers kit with my orange Acrolyte snare
2023-09-12,"Chattanooga, TN",Sam Evian,Barking Legs Theater,"Sam Evian, Seafoam Walls",Sam’s Rogers kit with my orange Acrolyte snare
2023-09-13,"Nashville, TN",Sam Evian,WNXP Studios,Sam Evian,Sam’s Rogers kit with my orange Acrolyte snare
2023-09-13,"Nashville, TN",Sam Evian,The Blue Room,"Sam Evian, Seafoam Walls",Sam’s Rogers kit with my orange Acrolyte snare
2023-09-14,"Chicago, IL",Liam Kazar,Judson & Moore Distillery,Liam Kazar,Red Onyx Slingerland with orange Acrolyte snare
2023-09-30,"Chicago, IL",Horizon of Darkness,Hideout,"Horizon of Darkness, Hali Palombo, Michael Zerang’s Velvet Bell",Red Onyx Slingerland with WFL snare
2023-10-17,"Austin, TX",Waxahatchee,Devil’s Backbone Tavern,Waxahatchee,Backline Ludwig
2023-10-18,"Chicago, IL",Spencer Tweedy & Lia Kohl,Archive House,Spencer Tweedy & Lia Kohl,Partial Red Onyx Slingerland with orange Acrolyte snare
2023-10-19,"Chicago, IL",Sima Cunningham,Empty Bottle,"Free Range, Sima Cunningham, Hazel City",Jack Henry’s drums with my orange Acrolyte snare
2023-10-26,"Chicago, IL",Case Oats,Hungry Brain,"Casey and Dana Halloween: Case Oats, Free Range, Tootsie, DJ Scary Stevens",Whitehall with orange Acrolyte snare
2023-10-27,"Chicago, IL",Cosmic Country Showcase,Lincoln Hall,Cosmic Country Showcase,Red Onyx Slingerland with orange Acrolyte snare
2023-11-01,"Chicago, IL",Case Oats,Hideout,"Leah Senior, Joanna Samuels, Case Oats (duo)",Casey’s Epiphone Cortez and my/dad’s paisley Music Master with silverface Champ
2023-11-07,"San Diego, CA",Finom,Music Box,"The New Pornographers, Finom","Stephen Buono’s fiberglass Pearl, my orange Acrolyte snare"
2023-11-08,"Los Angeles, CA",Finom,Fonda Theatre,"The New Pornographers, Finom","Stephen Buono’s fiberglass Pearl, my orange Acrolyte snare"
2023-11-09,"San Francisco, CA",Finom,Bimbo’s 365 Club,"The New Pornographers, Finom","Stephen Buono’s fiberglass Pearl, my orange Acrolyte snare"
2023-11-10,"San Francisco, CA",Finom,Bimbo’s 365 Club,"The New Pornographers, Finom","Stephen Buono’s fiberglass Pearl, my orange Acrolyte snare"
2023-11-11,"Sacramento, CA",Finom,Ace of Spades,"The New Pornographers, Finom","Stephen Buono’s fiberglass Pearl, my orange Acrolyte snare"
2023-11-14,"Vancouver, BC",Finom,The Commodore Ballroom,"The New Pornographers, Finom","Stephen Buono’s fiberglass Pearl, my orange Acrolyte snare"
2023-11-15,"Portland, OR",Finom,Revolution Hall,"The New Pornographers, Finom","Stephen Buono’s fiberglass Pearl, my orange Acrolyte snare"
