id,Date,Location,Artist,Venue,Lineup,Gear Notes,Link,Created on
93,2022-07-24,"Chicago, IL",Dougie Poole,Judson & Moore Distillery,Cosmic Country Cookout,Red Onyx Slingerland,,2025-08-03
94,2022-07-29,"Albany, WI",Case Oats,Post Farm,Postock,Whitehall,,2025-08-03
95,2022-07-29,"Albany, WI",Dida Pelled,Post Farm,Postock,Whitehall,,2025-08-03
96,2022-07-30,"Albany, WI",Aux Thom,Postock,Post Farm,Jack Henry kit,,2025-08-03
97,2022-07-30,"Albany, WI",Sima Cunningham,Post Farm,Postock,Jack Henry kit,,2025-08-03
98,2022-08-05,"Fishers, IN",Liam Kazar,Nickel Plate District Amphitheater,"Waxahatchee, Liam Kazar",Red Onyx Slingerland,,2025-08-03
99,2022-08-06,"Evanston, IL",Liam Kazar,Out of Space at Canal Shores Golf Course,"Lucinda Williams, Waxahatchee, Liam Kazar",Red Onyx Slingerland,,2025-08-03
100,2022-08-07,"Milwaukee, WI",Liam Kazar,Pabst Theater,"Waxahatchee, Liam Kazar",Red Onyx Slingerland,,2025-08-03
101,2022-08-12,"Ripon, WI",Aux Thom,Avrom Farm,Avrom Farm Party,Whitehall with orange Acrolyte,,2025-08-03
102,2022-08-12,"Ripon, WI",Sima Cunningham,Avrom Farm,Avrom Farm Party,Whitehall with orange Acrolyte,,2025-08-03
103,2022-08-13,"Ripon, WI",Henry True,Avrom Farm,Avrom Farm Party,Whitehall with orange Acrolyte,,2025-08-03
104,2022-08-13,"Ripon, WI",Sabine McCalla,Avrom Farm,Avrom Farm Party,Whitehall with orange Acrolyte,,2025-08-03
105,2022-08-19,"Chicago, IL",Lucky Cloud,Schubas,"Astrachan, Lucky Cloud, Pyzow","Astrachan kit, I think it was a Gretsch?",,2025-08-03
106,2022-08-24,"Chicago, IL",Case Oats,The Giant Penny Whistle,"Cass Cwik, Tommy Goodroad, Case Oats","Alan from Cass's band's tiny jazz-y kit. Tiny kick drum, not very good-sounding on stage but great in the house.",,2025-08-03
107,2022-09-04,"Traverse City, MI",Finom,Iron Fish Distillery,All Call Music Festival,Backline Farmer nesting kit,,2025-08-03
108,2022-09-08,"Chicago, IL",Ripley,Hideout,"Mid-American Elevator, Ripley, Leah Jean","British Drum Co. headliner backline, with my orange Acrolyte",,2025-08-03
109,2022-09-22,"Dubuque, IA",Case Oats,Fox Den Motel,"Case Oats, Trevor Sensor",Whitehall with orange Acrolyte,,2025-08-03
110,2022-09-23,"Lincoln, NE",Case Oats,Lincoln Calling Festival,Lincoln Calling Festival,Whitehall with orange Acrolyte,,2025-08-03
111,2022-09-24,"St. Louis, MO",Case Oats,Music Record Shop,"VV Lightbody, Case Oats, Ashley Byrne",Whitehall with orange Acrolyte,,2025-08-03
112,2022-09-25,"St. Louis, MO",Case Oats,Joe's Cafe,"Brothers Lazaroff, Case Oats",Whitehall with orange Acrolyte,,2025-08-03
113,2022-09-26,"Louisville, KY",Case Oats,Mag Bar,"Case Oats, Bats, Warner Brownfield, ""You Bred Raptors?""",Whitehall with orange Acrolyte,,2025-08-03
114,2022-09-27,"South Bend, IN",Case Oats,Stockroom East,"Joe Baughman and the Righteous Few, Case Oats, Bailey Williams",Whitehall with orange Acrolyte,,2025-08-03
115,2022-09-28,"Oberlin, OH",Finom,The Cat in the Cream,"Finom, Friko",Red Onyx Slingerland with orange Acrolyte,,2025-08-03
116,2022-09-29,"Philadelphia, PA",Finom,Johnny Brenda's,"Finom, mmeadows, Grocer",Red Onyx Slingerland with orange Acrolyte,,2025-08-03
117,2022-09-30,"Kingston, NY",Finom,Tubby's,"Finom, mmeadows",Red Onyx Slingerland with orange Acrolyte,,2025-08-03
118,2022-10-01,"New York, NY",Finom,TV Eye,"Finom, mmeadows, Emily Robb",Red Onyx Slingerland with orange Acrolyte,,2025-08-03
119,2022-10-02,"Washington, DC",Finom,Comet Ping Pong,"Finom, mmeadows, ""Yours, River""",Red Onyx Slingerland with orange Acrolyte,,2025-08-03
120,2022-10-03,"Columbia, SC",Finom,New Brookland Tavern,"Finom, mmeadows, Outerego",Red Onyx Slingerland with orange Acrolyte,,2025-08-03
121,2022-10-04,"Atlanta, GA",Finom,529,"Finom, mmeadows, Lowtown",Red Onyx Slingerland with orange Acrolyte,,2025-08-03
122,2022-10-05,"Knoxville, TN",Finom,The Pilot Light,"Finom, mmeadows, [plus 2 local bands]",Red Onyx Slingerland with orange Acrolyte,,2025-08-03
123,2022-10-06,"Nashville, TN",Finom,The Blue Room,"Finom, mmeadows, Joe Kenkel",Red Onyx Slingerland with orange Acrolyte,,2025-08-03
124,2022-10-08,"Chicago, IL",Finom,Thalia Hall,"The Regrettes, Finom, Child Seat",Red Onyx Slingerland with orange Acrolyte,,2025-08-03
125,2022-10-13,"Chicago, IL",Hayden Holbert and Lydia Nye,"Gossip Farm (Lydia's backyard, 1041 N California)","Morinda, Hayden & Lydia, Shoulderbrid, Henry True, Sarai's band, others",Red Onyx Slingerland with orange Acrolyte,,2025-08-03
126,2022-10-22,"Louisville, KY",Joan Shelley,St. Phillip Neri,"Joan Shelley, Giant Dunes",Red Onyx Slingerland with orange Acrolyte,,2025-08-03
127,2022-10-26,"Davenport, IA",Cosmic Country Showcase,Raccoon Motel,Cosmic Country Showcase,Red Onyx Slingerland with orange Acrolyte,,2025-08-03
128,2022-10-28,"Chicago, IL",Cosmic Country Showcase,Sleeping Village,Cosmic Country Showcase,Red Onyx Slingerland with orange Acrolyte,,2025-08-03
129,2022-10-29,"Chicago, IL",Cosmic Country Showcase,Sleeping Village,Cosmic Country Showcase,Red Onyx Slingerland with orange Acrolyte,,2025-08-03
130,2022-10-31,"Milwaukee, WI",Cosmic Country Showcase,Cactus Club,Cosmic Country Showcase,Red Onyx Slingerland with orange Acrolyte,,2025-08-03
131,2022-11-13,"San Francisco, CA",Jeff Tweedy,The Fillmore,Frank Riley surprise birthday party,"Pearl Export chrome belonging to Dean and Britta, with my Yamaha Oak Custom snare",,2025-08-03
132,2022-12-01,"Seattle, WA",Liam Kazar,Sunset Tavern,"Liam Kazar, Fruit Juice",Whitehall (nested) with orange Acrolyte,,2025-08-03
133,2022-12-02,"Portland, OR",Liam Kazar,Aladdin Theater,"The New Pornographers, Liam Kazar",Whitehall (nested) with orange Acrolyte,,2025-08-03
134,2022-12-03,"Portland, OR",Liam Kazar,Aladdin Theater,"The New Pornographers, Liam Kazar",Whitehall (nested) with orange Acrolyte,,2025-08-03
135,2022-12-05,"San Francisco, CA",Liam Kazar,The Fillmore,"The New Pornographers, Liam Kazar",Whitehall (nested) with orange Acrolyte,,2025-08-03
136,2022-12-06,"San Francisco, CA",Liam Kazar,The Fillmore,"The New Pornographers, Liam Kazar",Whitehall (nested) with orange Acrolyte,,2025-08-03
137,2022-12-07,"Los Angeles, CA",Liam Kazar,Regent Theater,"The New Pornographers, Liam Kazar",Whitehall (nested) with orange Acrolyte,,2025-08-03
138,2022-12-08,"Los Angeles, CA",Liam Kazar,Regent Theater,"The New Pornographers, Liam Kazar",Whitehall (nested) with orange Acrolyte,,2025-08-03
139,2022-12-10,"Solana Beach, CA",Liam Kazar,Belly Up Tavern,"The New Pornographers, Liam Kazar",Whitehall (nested) with orange Acrolyte,,2025-08-03
